home_rank,home_winning_rate,home_winning,away_rank,away_winning_rate,away_winning,temp,insolation,rain,holiday,event,time,target,year,month,MON,TUE,WEN,THUR,FRI,SAT,SUN,LG,DOOSAN,KIA,KT,NC,SSG,LOTTE,SAMSUNG,KIWOOM,HANHWA
1,0.667,-1,8,0.333,-2,17.6,10.78,7,0,0,1,0.165,2023,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4,0.5,-1,4,0.5,1,11.9,1.56,50,0,0,1,0.091,2023,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,0.6,-1,8,0.4,-1,8.8,2.15,3,0,0,1,0.157,2023,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2,0.667,1,7,0.4,-2,8.9,23.34,0,0,0,1,0.724,2023,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.714,3,8,0.333,-3,8.8,25.74,0,1,0,0,0.932,2023,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2,0.75,1,9,0.286,-4,10.8,25.54,0,1,0,0,0.861,2023,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2,0.667,2,7,0.333,-5,13.1,2.01,3,0,1,1,0.184,2023,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,0.6,-1,7,0.4,1,11.9,16.17,0,0,0,1,0.291,2023,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0.667,1,4,0.545,-2,16.2,14.25,0,0,0,1,0.696,2023,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2,0.692,2,4,0.5,-3,13.5,9.5,5,1,1,0,0.894,2023,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2,0.643,-1,4,0.538,1,10.8,14.45,0,1,1,0,0.846,2023,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3,0.6,-2,1,0.667,3,14,10.85,2,0,0,1,0.277,2023,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0.625,1,1,0.625,-1,19.1,27.82,0,0,0,1,0.299,2023,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0.647,2,3,0.588,-2,15.8,4.12,1,0,1,1,0.383,2023,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3,0.588,2,5,0.5,-2,16.7,21.05,0,0,0,1,0.29,2023,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3,0.611,3,6,0.467,-3,16.9,21.2,0,1,0,0,0.565,2023,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
3,0.611,3,6,0.467,-3,16.1,19.47,0,1,0,0,0.427,2023,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,0.667,1,2,0.632,-1,10.9,5.22,0,0,0,1,0.309,2023,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0.636,-1,1,0.65,1,10.2,15.52,0,0,0,1,0.439,2023,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0.652,1,2,0.619,-1,12.9,26.55,0,0,1,1,0.55,2023,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0.625,-1,7,0.476,3,15.7,21.25,2,0,1,1,0.956,2023,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3,0.6,-2,5,0.5,4,13.2,6.04,25,1,1,0,1,2023,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3,0.577,-3,5,0.522,5,12.7,19.71,0,1,0,0,1,2023,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
4,0.542,2,10,0.25,-6,16.7,21.58,0,0,1,1,0.414,2023,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,0.52,-1,10,0.28,1,19.5,26.2,0,0,0,1,0.601,2023,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,0.5,-2,10,0.308,2,21.4,16.89,0,0,1,1,0.456,2023,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
6,0.481,-3,3,0.621,3,14.4,12.18,0,1,1,0,0.929,2023,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2,0.633,4,8,0.419,-5,17,28.29,0,0,0,1,0.439,2023,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
